state,district,office,special_election,primary_date,runoff_date,name,incumbent,status
AL,4,U.S. House Alabama District 4,FALSE,2026-05-19,2026-06-16,Amanda Pusczek,FALSE,On the ballot
AL,4,U.S. House Alabama District 4,FALSE,2026-05-19,2026-06-16,Shane Weaver,FALSE,On the ballot
AL,5,U.S. House Alabama District 5,FALSE,2026-05-19,2026-06-16,Jeremy Devito,FALSE,On the ballot
AL,5,U.S. House Alabama District 5,FALSE,2026-05-19,2026-06-16,Candice Duvieilh,FALSE,On the ballot
AL,5,U.S. House Alabama District 5,FALSE,2026-05-19,2026-06-16,Andrew Sneed,FALSE,On the ballot
AK,1,U.S. House Alaska At-large District,FALSE,2026-08-18,,Matthew Schultz,FALSE,Candidacy declared
AK,1,U.S. House Alaska At-large District,FALSE,2026-08-18,,John Brendan Williams,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Andres Barraza,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Brian Del Vecchio,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Brandon Donnelly,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Marlene Galán-Woods,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Mark Robert Gordon,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Daniel Lucio,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Rick McCartney,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Angie Montoya,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Amish Shah,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Jonathan Treble,FALSE,Candidacy declared
AZ,2,U.S. House Arizona District 2,FALSE,2026-07-21,,Jonathan Nez,FALSE,Candidacy declared
AZ,3,U.S. House Arizona District 3,FALSE,2026-07-21,,Yassamin Ansari,TRUE,Candidacy declared
AZ,3,U.S. House Arizona District 3,FALSE,2026-07-21,,Sandy Cano-Bravo,FALSE,Candidacy declared
AZ,4,U.S. House Arizona District 4,FALSE,2026-07-21,,Greg Stanton,TRUE,Candidacy declared
AZ,4,U.S. House Arizona District 4,FALSE,2026-07-21,,Kai Newkirk,FALSE,Candidacy declared
AZ,5,U.S. House Arizona District 5,FALSE,2026-07-21,,Brian Hualde,FALSE,Candidacy declared
AZ,5,U.S. House Arizona District 5,FALSE,2026-07-21,,Chris James,FALSE,Candidacy declared
AZ,5,U.S. House Arizona District 5,FALSE,2026-07-21,,Elizabeth Lee,FALSE,Candidacy declared
AZ,5,U.S. House Arizona District 5,FALSE,2026-07-21,,Evan Olson,FALSE,Candidacy declared
AZ,5,U.S. House Arizona District 5,FALSE,2026-07-21,,Justin Poff,FALSE,Candidacy declared
AZ,6,U.S. House Arizona District 6,FALSE,2026-07-21,,Johnathan Buma,FALSE,Candidacy declared
AZ,6,U.S. House Arizona District 6,FALSE,2026-07-21,,Chris Donat,FALSE,Candidacy declared
AZ,6,U.S. House Arizona District 6,FALSE,2026-07-21,,JoAnna Mendoza,FALSE,Candidacy declared
AZ,6,U.S. House Arizona District 6,FALSE,2026-07-21,,Carter Weeks,FALSE,Candidacy declared
AZ,7,U.S. House Arizona District 7,FALSE,2026-07-21,,Adelita Grijalva,TRUE,Candidacy declared
AZ,8,U.S. House Arizona District 8,FALSE,2026-07-21,,Jillian Barfield,FALSE,Candidacy declared
AZ,8,U.S. House Arizona District 8,FALSE,2026-07-21,,Maria Flores,FALSE,Candidacy declared
AZ,8,U.S. House Arizona District 8,FALSE,2026-07-21,,Bernadette Greene Placentia,FALSE,Candidacy declared
AZ,8,U.S. House Arizona District 8,FALSE,2026-07-21,,Raymond Keeler,FALSE,Candidacy declared
AZ,9,U.S. House Arizona District 9,FALSE,2026-07-21,,Keith Lara,FALSE,Candidacy declared
AZ,9,U.S. House Arizona District 9,FALSE,2026-07-21,,Danielle Sterbinsky,FALSE,Candidacy declared
AZ,9,U.S. House Arizona District 9,FALSE,2026-07-21,,Camelia Ward,FALSE,Candidacy declared
AR,2,U.S. House Arkansas District 2,FALSE,2026-03-03,2026-03-31,Chris Jones,FALSE,Advanced
