state,district,office,special_election,primary_date,runoff_date,name,incumbent,status
AL,1,U.S. House Alabama District 1,FALSE,2026-05-19,2026-06-16,Jerry Carl,FALSE,On the ballot
AL,1,U.S. House Alabama District 1,FALSE,2026-05-19,2026-06-16,James Dees,FALSE,On the ballot
AL,1,U.S. House Alabama District 1,FALSE,2026-05-19,2026-06-16,Rhett Marques,FALSE,On the ballot
AL,1,U.S. House Alabama District 1,FALSE,2026-05-19,2026-06-16,Joshua McKee,FALSE,On the ballot
AL,1,U.S. House Alabama District 1,FALSE,2026-05-19,2026-06-16,John Mills,FALSE,On the ballot
AL,1,U.S. House Alabama District 1,FALSE,2026-05-19,2026-06-16,James Richardson,FALSE,On the ballot
AL,1,U.S. House Alabama District 1,FALSE,2026-05-19,2026-06-16,Austin Sidwell,FALSE,On the ballot
AL,3,U.S. House Alabama District 3,FALSE,2026-05-19,2026-06-16,Mike Rogers,TRUE,On the ballot
AL,3,U.S. House Alabama District 3,FALSE,2026-05-19,2026-06-16,Terri LaPoint,FALSE,On the ballot
AL,4,U.S. House Alabama District 4,FALSE,2026-05-19,2026-06-16,Robert Aderholt,TRUE,On the ballot
AL,4,U.S. House Alabama District 4,FALSE,2026-05-19,2026-06-16,Tommy Barnes,FALSE,On the ballot
AL,6,U.S. House Alabama District 6,FALSE,2026-05-19,2026-06-16,Gary Palmer,TRUE,On the ballot
AL,6,U.S. House Alabama District 6,FALSE,2026-05-19,2026-06-16,Case Dixon,FALSE,On the ballot
AK,1,U.S. House Alaska At-large District,FALSE,2026-08-18,,Nicholas Begich,TRUE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Joseph Chaplik,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Jason Duey,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Jay Feely,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Derrick Gallego,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Kaitlin Purrington,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Paul Reevs,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,Brandon Sowers,FALSE,Candidacy declared
AZ,1,U.S. House Arizona District 1,FALSE,2026-07-21,,John Trobough,FALSE,Candidacy declared
AZ,2,U.S. House Arizona District 2,FALSE,2026-07-21,,Eli Crane,TRUE,Candidacy declared
AZ,3,U.S. House Arizona District 3,FALSE,2026-07-21,,Kirt Burgess,FALSE,Candidacy declared
AZ,3,U.S. House Arizona District 3,FALSE,2026-07-21,,Nicholas Glenn,FALSE,Candidacy declared (write-in)
AZ,4,U.S. House Arizona District 4,FALSE,2026-07-21,,Zuhdi Jasser,FALSE,Candidacy declared
AZ,4,U.S. House Arizona District 4,FALSE,2026-07-21,,Elizabeth Reye,FALSE,Candidacy declared
AZ,4,U.S. House Arizona District 4,FALSE,2026-07-21,,Alex Stovall,FALSE,Candidacy declared
AZ,5,U.S. House Arizona District 5,FALSE,2026-07-21,,Travis Grantham,FALSE,Candidacy declared
AZ,5,U.S. House Arizona District 5,FALSE,2026-07-21,,Mike Gross,FALSE,Candidacy declared
AZ,5,U.S. House Arizona District 5,FALSE,2026-07-21,,Daniel Keenan,FALSE,Candidacy declared
AZ,5,U.S. House Arizona District 5,FALSE,2026-07-21,,Mark Lamb,FALSE,Candidacy declared
AZ,6,U.S. House Arizona District 6,FALSE,2026-07-21,,Juan Ciscomani,TRUE,Candidacy declared
AZ,7,U.S. House Arizona District 7,FALSE,2026-07-21,,Daniel Butierez Sr.,FALSE,Candidacy declared
AZ,8,U.S. House Arizona District 8,FALSE,2026-07-21,,Abraham Hamadeh,TRUE,Candidacy declared
