"State","Primary Date","Runoff Date","Senate Races","House Races","Notes"
"AK",2026-08-18,NA,"Yes",1,NA
"AL",2026-05-19,2026-06-16,"Yes",7,NA
"AR",2026-03-03,2026-03-31,"Yes",4,NA
"AZ",2026-07-21,NA,"No",9,NA
"CA",2026-06-02,NA,"No",52,NA
"CO",2026-06-30,NA,"Yes",8,NA
"CT",2026-08-11,NA,"No",5,NA
"DC",2026-06-06,NA,NA,1,NA
"DE",2026-09-15,NA,"Yes",1,NA
"FL",2026-08-18,NA,"Yes",28,NA
"GA",2026-05-19,2026-06-16,"Yes",14,NA
"HI",2026-08-08,NA,"No",2,NA
"IA",2026-06-02,NA,"Yes",4,NA
"ID",2026-05-19,NA,"Yes",2,NA
"IL",2026-03-17,NA,"Yes",17,NA
"IN",2026-05-05,NA,"No",9,NA
"KS",2026-08-04,NA,"Yes",4,NA
"KY",2026-05-19,NA,"Yes",6,NA
"LA",2026-05-16,2026-06-27,"Yes",6,NA
"MA",2026-09-01,NA,"Yes",9,NA
"MD",2026-06-23,NA,"No",8,NA
"ME",2026-06-09,NA,"Yes",2,NA
"MI",2026-08-04,NA,"Yes",13,NA
"MN",2026-08-11,NA,"Yes",8,NA
"MO",2026-08-04,NA,"No",8,NA
"MS",2026-03-10,2026-04-07,"Yes",4,NA
"MT",2026-06-02,NA,"Yes",2,NA
"NC",2026-03-03,2026-05-12,"Yes",14,NA
"ND",2026-06-09,NA,"No",1,NA
"NE",2026-05-12,NA,"Yes",3,NA
"NH",2026-09-08,NA,"Yes",2,NA
"NJ",2026-06-02,NA,"Yes",12,NA
"NM",2026-06-02,NA,"Yes",3,NA
"NV",2026-06-09,NA,"No",4,NA
"NY",2026-06-23,NA,"No",26,NA
"OH",2026-05-05,NA,"Yes",15,NA
"OK",2026-06-16,NA,"Yes",5,NA
"OR",2026-05-19,NA,"Yes",6,NA
"PA",2026-05-19,NA,"Yes",17,NA
"RI",2026-09-08,NA,"Yes",2,NA
"SC",2026-06-09,2026-06-23,"Yes",7,NA
"SD",2026-06-02,NA,"Yes",1,NA
"TN",2026-08-06,NA,"Yes",9,NA
"TX",2026-03-03,2026-05-26,"Yes",38,NA
"UT",2026-06-23,NA,"No",4,NA
"VA",2026-08-04,NA,"Yes",11,NA
"VT",2026-08-11,NA,"No",1,NA
"WA",2026-08-04,NA,"No",10,NA
"WI",2026-08-11,NA,"No",8,NA
"WV",2026-05-12,NA,"Yes",2,NA
"WY",2026-08-18,NA,"Yes",1,NA
