state,name,party,incumbent,status,candidate_url
AL,Dakarai Larriett,Democratic,No,On the ballot,https://ballotpedia.org/Dakarai_Larriett
AL,Kyle Sweetser,Democratic,No,On the ballot,https://ballotpedia.org/Kyle_Sweetser
AL,Everett Wess,Democratic,No,On the ballot,https://ballotpedia.org/Everett_Wess
AL,Mark Wheeler II,Democratic,No,On the ballot,https://ballotpedia.org/Mark_Wheeler_II
AL,Greg Howard,Democratic,No,Withdrew,https://ballotpedia.org/Greg_Howard_(Alabama)
AL,Lamont Lavender,Democratic,No,Withdrew,https://ballotpedia.org/Lamont_Lavender
AK,Carol Hafner,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Carol_Hafner
AK,Mary Peltola,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Mary_Peltola
AK,Ann Diener,Democratic,No,Withdrew,https://ballotpedia.org/Ann_Diener
AR,Hallie Shoffner,Democratic,No,Won primary,https://ballotpedia.org/Hallie_Shoffner
AR,Ethan Dunbar,Democratic,No,Lost primary,https://ballotpedia.org/Ethan_Dunbar
AR,James Russell,Democratic,No,Withdrew,https://ballotpedia.org/James_Russell_(Arkansas)
AR,Dan Whitfield,Democratic,No,Withdrew,https://ballotpedia.org/Dan_Whitfield
CO,John Hickenlooper,Democratic,No,On the ballot,https://ballotpedia.org/John_Hickenlooper
CO,Julie Gonzales,Democratic,No,On the ballot,https://ballotpedia.org/Julie_Gonzales
CO,Karen Breslin,Democratic,No,Withdrew,https://ballotpedia.org/Karen_Breslin
CO,Brashad Hasley,Democratic,No,Withdrew,https://ballotpedia.org/Brashad_Hasley
CO,Nichole Miner,Democratic,No,Withdrew,https://ballotpedia.org/Nichole_Miner
CO,Michael Scanlon,Democratic,No,Withdrew,https://ballotpedia.org/Michael_Scanlon_(Colorado)
CO,Jessica Williams,Democratic,No,Withdrew,https://ballotpedia.org/Jessica_Williams_(Colorado)
CO,Anthony Zimpfer,Democratic,No,Withdrew,https://ballotpedia.org/Anthony_Zimpfer
DE,Chris Coons,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Chris_Coons
DE,Christopher Beardsley,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Christopher_Beardsley
GA,Jon Ossoff,Democratic,No,On the ballot,https://ballotpedia.org/Jon_Ossoff
GA,Hisham Darwish,Democratic,No,Withdrew,https://ballotpedia.org/Hisham_Darwish
GA,Kia Legette,Democratic,No,Withdrew,https://ballotpedia.org/Kia_Legette
ID,Nickolas Bonds,Democratic,No,On the ballot,https://ballotpedia.org/Nickolas_Bonds
ID,Brad Moore,Democratic,No,On the ballot,https://ballotpedia.org/Brad_Moore
ID,David Roth,Democratic,No,On the ballot,https://ballotpedia.org/David_Roth
IL,Juliana Stratton,Democratic,No,Won primary,https://ballotpedia.org/Juliana_Stratton
IL,Steve Botsford Jr.,Democratic,No,Lost primary,https://ballotpedia.org/Steve_Botsford_Jr.
IL,Sean Brown,Democratic,No,Lost primary,https://ballotpedia.org/Sean_Brown_(Illinois)
IL,Awisi Bustos,Democratic,No,Lost primary,https://ballotpedia.org/Awisi_Bustos
IL,Jonathan Dean,Democratic,No,Lost primary,https://ballotpedia.org/Jonathan_Dean
IL,Adam Delgado,Democratic,No,Lost primary,https://ballotpedia.org/Adam_Delgado
IL,Robin Kelly,Democratic,No,Lost primary,https://ballotpedia.org/Robin_Kelly
IL,Raja Krishnamoorthi,Democratic,No,Lost primary,https://ballotpedia.org/Raja_Krishnamoorthi
IL,Bryan Maxwell,Democratic,No,Lost primary,https://ballotpedia.org/Bryan_Maxwell
IL,Kevin Ryan,Democratic,No,Lost primary,https://ballotpedia.org/Kevin_Ryan_(Illinois)
IL,Christopher Swann,Democratic,No,Lost primary,https://ballotpedia.org/Christopher_Swann
IL,Dick Durbin,Democratic,No,Withdrew,https://ballotpedia.org/Dick_Durbin
IL,Stanley Leavell,Democratic,No,Withdrew,https://ballotpedia.org/Stanley_Leavell
IL,Robert Palmer,Democratic,No,Withdrew,https://ballotpedia.org/Robert_Palmer_(Illinois)
IL,Adair Rodriquez,Democratic,No,Withdrew,https://ballotpedia.org/Adair_Rodriquez
IL,Jump Shepherd,Democratic,No,Disqualified Primary,https://ballotpedia.org/Jump_Shepherd
IL,Anthony Williams,Democratic,No,Disqualified Primary,https://ballotpedia.org/Anthony_Williams_(Illinois)
IA,Josh Turek,Democratic,No,On the ballot,https://ballotpedia.org/Josh_Turek
IA,Zach Wahls,Democratic,No,On the ballot,https://ballotpedia.org/Zach_Wahls
IA,Chris Henry,Democratic,No,Withdrew,https://ballotpedia.org/Chris_Henry_(Iowa)
IA,Bob Krause,Democratic,No,Withdrew,https://ballotpedia.org/Bob_Krause_(Iowa)
IA,Jackie Norris,Democratic,No,Withdrew,https://ballotpedia.org/Jackie_Norris
IA,Nathan Sage,Democratic,No,Withdrew,https://ballotpedia.org/Nathan_Sage
IA,J.D. Scholten,Democratic,No,Withdrew,https://ballotpedia.org/J.D._Scholten
KS,Christy Davis,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Christy_Davis
KS,Adam Hamilton,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Adam_Hamilton_(Kansas)
KS,Jason Hart,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Jason_Hart_(Kansas)
KS,Erik Murray,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Erik_Murray
KS,Sandy Spidel Neumann,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Sandy_Spidel_Neumann
KS,Anne Parelkar,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Anne_Parelkar
KS,Patrick Schmidt,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Patrick_Schmidt
KS,Michael Soetaert,Democratic,No,Candidacy Declared Primary,https://ballotpedia.org/Michael_Soetaert
