state,name,party,incumbent,status,candidate_url
AL,Seth Burton,Republican,No,On the ballot,https://ballotpedia.org/Seth_Burton
AL,Jared Hudson,Republican,No,On the ballot,https://ballotpedia.org/Jared_Hudson
AL,Steve Marshall,Republican,No,On the ballot,https://ballotpedia.org/Steve_Marshall
AL,Barry Moore,Republican,No,On the ballot,https://ballotpedia.org/Barry_Moore_(Alabama_U.S._representative)
AL,Morgan Murphy,Republican,No,On the ballot,https://ballotpedia.org/Morgan_Murphy
AL,Dale Shelton Deas Jr.,Republican,No,On the ballot,https://ballotpedia.org/Dale_Shelton_Deas_Jr.
AL,Rodney Walker,Republican,No,On the ballot,https://ballotpedia.org/Rodney_Walker_(Alabama)
AL,Tommy Tuberville,Republican,No,Withdrew,https://ballotpedia.org/Tommy_Tuberville
AK,Daniel S. Sullivan,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Daniel_S._Sullivan_(United_States_Senator_from_Alaska)
AK,Dustin Darden,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Dustin_Darden
AR,Tom Cotton,Republican,No,Won primary,https://ballotpedia.org/Tom_Cotton
AR,Micah Ashby,Republican,No,Lost primary,https://ballotpedia.org/Micah_Ashby
AR,Jeb Little,Republican,No,Lost primary,https://ballotpedia.org/Jeb_Little
CO,Mark Baisley,Republican,No,On the ballot,https://ballotpedia.org/Mark_Baisley
CO,Amanda Calderon,Republican,No,Withdrew,https://ballotpedia.org/Amanda_Calderon
CO,Dathan Jones,Republican,No,Withdrew,https://ballotpedia.org/Dathan_Jones
CO,Janak Joshi,Republican,No,Withdrew,https://ballotpedia.org/Janak_Joshi
CO,George Washington Markert,Republican,No,Withdrew,https://ballotpedia.org/George_Washington_Markert
CO,Sean Pond,Republican,No,Withdrew,https://ballotpedia.org/Sean_Pond
DE,Michael Katz,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Michael_Katz
DE,John Shulli,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/John_Shulli
GA,Earl Carter,Republican,No,On the ballot,"https://ballotpedia.org/Earl_""Buddy""_Carter"
GA,Mike Collins,Republican,No,On the ballot,https://ballotpedia.org/Mike_Collins_(Georgia)
GA,John Coyne,Republican,No,On the ballot,https://ballotpedia.org/John_Coyne
GA,Derek Dooley,Republican,No,On the ballot,https://ballotpedia.org/Derek_Dooley
GA,Jonathan McColumn,Republican,No,On the ballot,https://ballotpedia.org/Jonathan_McColumn
GA,Christina Loren Clement,Republican,No,Candidacy Declared (Write-in) General,https://ballotpedia.org/Christina_Loren_Clement
GA,Reagan Box,Republican,No,Withdrew,https://ballotpedia.org/Reagan_Box
GA,John King,Republican,No,Withdrew,https://ballotpedia.org/John_King_(Georgia)
GA,Christoph La'Flare Chapman,Republican,No,Withdrew,https://ballotpedia.org/Christoph_La'Flare_Chapman
GA,Chelsae Pile,Republican,No,Withdrew,https://ballotpedia.org/Chelsae_Pile
GA,Rick Temple,Republican,No,Withdrew,https://ballotpedia.org/Rick_Temple
GA,Vinson Watkins,Republican,No,Withdrew,https://ballotpedia.org/Vinson_Watkins
ID,Jim Risch,Republican,No,On the ballot,https://ballotpedia.org/Jim_Risch
ID,Joe Evans,Republican,No,On the ballot,https://ballotpedia.org/Joe_Evans_(Idaho_congressional_candidate)
ID,Denny LaVe,Republican,No,On the ballot,https://ballotpedia.org/Denny_LaVe
ID,Josh Roy,Republican,No,On the ballot,https://ballotpedia.org/Josh_Roy
IL,Don Tracy,Republican,No,Won primary,https://ballotpedia.org/Don_Tracy
IL,R. Cary Capparelli,Republican,No,Lost primary,https://ballotpedia.org/R._Cary_Capparelli
IL,Casey Chlebek,Republican,No,Lost primary,https://ballotpedia.org/Casey_Chlebek
IL,Jeannie Evans,Republican,No,Lost primary,https://ballotpedia.org/Jeannie_Evans
IL,Pamela Denise Long,Republican,No,Lost primary,https://ballotpedia.org/Pamela_Denise_Long
IL,Max Rice,Republican,No,Lost primary,https://ballotpedia.org/Max_Rice
IL,Jimmy Lee Tillman II,Republican,No,Lost primary,https://ballotpedia.org/Jimmy_Lee_Tillman_II
IL,Panagioti Bartzis,Republican,No,Withdrew,https://ballotpedia.org/Panagioti_Bartzis
IL,Doug Bennett,Republican,No,Withdrew,https://ballotpedia.org/Doug_Bennett_(Illinois)
IL,CaSándra Claiborne,Republican,No,Disqualified Primary,https://ballotpedia.org/CaSándra_Claiborne
IL,John Goodman,Republican,No,Withdrew,https://ballotpedia.org/John_Goodman_(Illinois)
IL,Lloyd Jones,Republican,No,Withdrew,https://ballotpedia.org/Lloyd_Jones
IL,Januario Ortega,Republican,No,Withdrew,https://ballotpedia.org/Januario_Ortega
IA,Jim Carlin,Republican,No,On the ballot,https://ballotpedia.org/Jim_Carlin
IA,Ashley Hinson,Republican,No,On the ballot,https://ballotpedia.org/Ashley_Hinson
IA,Joni Ernst,Republican,No,Withdrew,https://ballotpedia.org/Joni_Ernst
IA,John Berman,Republican,No,Withdrew,https://ballotpedia.org/John_Berman
IA,Joshua Smith,Republican,No,Withdrew,https://ballotpedia.org/Joshua_Smith_(Iowa)
KS,Roger Marshall,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Roger_Marshall
KS,Chase LaPorte,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Chase_LaPorte
KY,Andy Barr,Republican,No,On the ballot,https://ballotpedia.org/Andy_Barr
KY,Daniel Cameron,Republican,No,On the ballot,https://ballotpedia.org/Daniel_Cameron
KY,Anissa Catlett,Republican,No,On the ballot,https://ballotpedia.org/Anissa_Catlett
KY,James Duncan,Republican,No,On the ballot,https://ballotpedia.org/James_Duncan_(Kentucky)
KY,Mike Faris,Republican,No,On the ballot,https://ballotpedia.org/Mike_Faris
KY,Val Fredrick,Republican,No,On the ballot,https://ballotpedia.org/Val_Fredrick
KY,Jonathan Holliday,Republican,No,On the ballot,https://ballotpedia.org/Jonathan_Holliday
KY,Jimmy Leon,Republican,No,On the ballot,https://ballotpedia.org/Jimmy_Leon
KY,Nate Morris,Republican,No,On the ballot,https://ballotpedia.org/Nate_Morris
KY,Andrew Shelley,Republican,No,On the ballot,https://ballotpedia.org/Andrew_Shelley
KY,George Washington,Republican,No,On the ballot,https://ballotpedia.org/George_Washington_(Kentucky)
KY,Donald Wenzel,Republican,No,On the ballot,https://ballotpedia.org/Donald_Wenzel
KY,Mitch McConnell,Republican,No,Withdrew,https://ballotpedia.org/Mitch_McConnell
KY,Wende Kennedy,Republican,No,Withdrew,https://ballotpedia.org/Wende_Kennedy
KY,Jacob Trimble,Republican,No,Withdrew,https://ballotpedia.org/Jacob_Trimble
LA,Bill Cassidy,Republican,No,On the ballot,https://ballotpedia.org/Bill_Cassidy
LA,John Fleming,Republican,No,On the ballot,https://ballotpedia.org/John_Fleming_(Louisiana)
LA,Julia Letlow,Republican,No,On the ballot,https://ballotpedia.org/Julia_Letlow
LA,Mark Spencer,Republican,No,On the ballot,https://ballotpedia.org/Mark_Spencer_(Louisiana)
LA,Randall Arrington,Republican,No,Withdrew,https://ballotpedia.org/Randall_Arrington
LA,Markeda Cottonham,Republican,No,Withdrew,https://ballotpedia.org/Markeda_Cottonham
LA,Tracy Dendy,Republican,No,Withdrew,https://ballotpedia.org/Tracy_Dendy
LA,Julie Emerson,Republican,No,Withdrew,https://ballotpedia.org/Julie_Emerson
LA,Chris Holder,Republican,No,Withdrew,https://ballotpedia.org/Chris_Holder
LA,Xan John,Republican,No,Withdrew,https://ballotpedia.org/Xan_John
LA,Blake Miguez,Republican,No,Withdrew,https://ballotpedia.org/Blake_Miguez
LA,Joshua Morott,Republican,No,Withdrew,https://ballotpedia.org/Joshua_Morott
LA,Kathy Seiden,Republican,No,Withdrew,https://ballotpedia.org/Kathy_Seiden
LA,Eric Skrmetta,Republican,No,Withdrew,https://ballotpedia.org/Eric_Skrmetta
LA,Samuel Wyatt,Republican,No,Withdrew,https://ballotpedia.org/Samuel_Wyatt
ME,Susan Collins,Republican,No,On the Ballot,https://ballotpedia.org/Susan_Collins_(Maine)
ME,Carmen Calabrese,Republican,No,Withdrew,https://ballotpedia.org/Carmen_Calabrese
ME,Bill Clarke,Republican,No,Withdrew,https://ballotpedia.org/Bill_Clarke_(Maine)
ME,Daniel Smeriglio,Republican,No,Withdrew,https://ballotpedia.org/Daniel_Smeriglio
MA,Nathan Bech,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Nathan_Bech
MA,John Deaton,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/John_Deaton_(Massachusetts)
MI,Kent Benham,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Kent_Benham
MI,Frederick Heurtebise,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Frederick_Heurtebise
MI,Andrew Kamal,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Andrew_Kamal
MI,Mike Rogers,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Mike_Rogers_(Michigan)
MI,Genevieve Peters Scott,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Genevieve_Peters_Scott
MI,Bernadette Smith,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Bernadette_Smith_(Michigan)
MN,Christopher Brooks,Republican,No,Candidacy Declared Primary,https://ballotpedia.org/Christopher_Brooks_(Minnesota)
